ID,TV,Radio,Newspaper,Total Budget(in thousands),Sales
120,19.4,16.0,22.3,57.7,6.6
121,141.3,26.8,46.2,214.3,15.5
122,18.8,21.7,50.4,90.9,7.0
123,224.0,2.4,15.6,242.0,11.6
124,123.1,34.6,12.4,170.1,15.2
125,229.5,32.3,74.2,336.0,19.7
126,87.2,11.8,25.9,124.9,10.6
127,7.8,38.9,50.6,97.3,6.6
128,80.2,0.0,9.2,89.4,8.8
129,220.3,49.0,3.2,272.5,24.7
130,59.6,12.0,43.1,114.69999999999999,9.7
131,0.7,39.6,8.7,49.0,1.6
132,265.2,2.9,43.0,311.09999999999997,12.7
133,8.4,27.2,2.1,37.7,5.7
134,219.8,33.5,45.1,298.40000000000003,19.6
135,36.9,38.6,65.6,141.1,10.8
136,48.3,47.0,8.5,103.8,11.6
137,25.6,39.0,9.3,73.89999999999999,9.5
138,273.7,28.9,59.7,362.29999999999995,20.8
139,43.0,25.9,20.5,89.4,9.6
140,184.9,43.9,1.7,230.5,20.7
141,73.4,17.0,12.9,103.30000000000001,10.9
142,193.7,35.4,75.6,304.7,19.2
143,220.5,33.2,37.9,291.59999999999997,20.1
144,104.6,5.7,34.4,144.7,10.4
145,96.2,14.8,38.9,149.9,11.4
146,140.3,1.9,9.0,151.20000000000002,10.3
147,240.1,7.3,8.7,256.1,13.2
148,243.2,49.0,44.3,336.5,25.4
149,34.0,40.3,11.9,86.2,10.9
150,44.7,25.8,20.6,91.1,10.1
151,280.7,13.9,37.0,331.59999999999997,16.1
152,121.0,8.4,48.7,178.10000000000002,11.6
153,197.6,23.3,14.2,235.1,16.6
154,171.3,39.7,37.7,248.7,19.0
155,187.8,21.1,9.5,218.4,15.6
156,4.1,11.6,5.7,21.4,3.2
157,93.9,43.5,50.5,187.9,15.3
158,149.8,1.3,24.3,175.40000000000003,10.1
159,11.7,36.9,45.2,93.8,7.3
160,131.7,18.4,34.6,184.7,12.9
161,172.5,18.1,30.7,221.29999999999998,14.4
162,85.7,35.8,49.3,170.8,13.3
163,190.4,18.1,25.6,234.1,14.9
164,163.5,36.8,7.4,207.70000000000002,18.0
165,117.2,14.7,5.4,137.3,11.9
166,234.5,3.4,84.8,322.7,11.9
167,17.9,37.6,21.6,77.1,8.0
168,206.8,5.2,19.4,231.4,12.2
169,215.4,23.6,57.6,296.6,17.1
170,284.3,10.6,6.4,301.3,15.0
171,50.0,11.6,18.4,80.0,8.4
172,164.5,20.9,47.4,232.8,14.5
173,19.6,20.1,17.0,56.7,7.6
174,168.4,7.1,12.8,188.3,11.7
175,222.4,3.4,13.1,238.9,11.5
176,276.9,48.9,41.8,367.59999999999997,27.0
177,248.4,30.2,20.3,298.90000000000003,20.2
178,170.2,7.8,35.2,213.2,11.7
179,276.7,2.3,23.7,302.7,11.8
180,165.6,10.0,17.6,193.2,12.6
181,156.6,2.6,8.3,167.5,10.5
182,218.5,5.4,27.4,251.3,12.2
183,56.2,5.7,29.7,91.60000000000001,8.7
184,287.6,43.0,71.8,402.40000000000003,26.2
185,253.8,21.3,30.0,305.1,17.6
186,205.0,45.1,19.6,269.7,22.6
187,139.5,2.1,26.6,168.2,10.3
188,191.1,28.7,18.2,237.99999999999997,17.3
189,286.0,13.9,3.7,303.59999999999997,15.9
190,18.7,12.1,23.4,54.199999999999996,6.7
191,39.5,41.1,5.8,86.39999999999999,10.8
192,75.5,10.8,6.0,92.3,9.9
193,17.2,4.1,31.6,52.9,5.9
194,166.8,42.0,3.6,212.4,19.6
195,149.7,35.6,6.0,191.29999999999998,17.3
196,38.2,3.7,13.8,55.7,7.6
197,94.2,4.9,8.1,107.2,9.7
198,177.0,11.0,6.4,194.4,12.8
199,283.6,42.0,66.2,391.8,25.5
200,232.1,8.1,8.7,248.89999999999998,14.6
